Mathlib/Data/ByteArray.lean : line 7 : ERR_MOD : Module docstring missing, or too late
Mathlib/MeasureTheory/Function/StronglyMeasurable/Vitali.lean : line 10 : ERR_MOD : Module docstring missing, or too late
Mathlib/MeasureTheory/Function/StronglyMeasurable/Vitali.lean : line 151 : ERR_CLN : Put : and := before line breaks, not after
Mathlib/MeasureTheory/Function/StronglyMeasurable/Vitali.lean : line 163 : ERR_CLN : Put : and := before line breaks, not after
Mathlib/MeasureTheory/Function/StronglyMeasurable/Vitali.lean : line 182 : ERR_DOT : Line is an isolated focusing dot or uses . instead of ·
Mathlib/MeasureTheory/Function/StronglyMeasurable/Vitali.lean : line 192 : ERR_DOT : Line is an isolated focusing dot or uses . instead of ·
Mathlib/MeasureTheory/Function/StronglyMeasurable/Vitali.lean : line 592 : ERR_CLN : Put : and := before line breaks, not after
Mathlib/MeasureTheory/Function/StronglyMeasurable/Vitali.lean : line 645 : ERR_CLN : Put : and := before line breaks, not after
Mathlib/Private/banach-alaoglu.lean : line 3 : ERR_MOD : Module docstring missing, or too late
Mathlib/Private/cauchy-schwartz.lean : line 3 : ERR_MOD : Module docstring missing, or too late
Mathlib/Private/exists_intro.lean : line 12 : ERR_DOT : Line is an isolated focusing dot or uses . instead of ·
Mathlib/Private/exists_intro.lean : line 24 : ERR_DOT : Line is an isolated focusing dot or uses . instead of ·
Mathlib/Private/exists_intro.lean : line 3 : ERR_MOD : Module docstring missing, or too late
Mathlib/Private/monoids/Basic.lean : line 1 : ERR_MOD : Module docstring missing, or too late
Mathlib/Private/monoids/Basic.lean : line 107 : ERR_CLN : Put : and := before line breaks, not after
Mathlib/Private/monoids/Basic.lean : line 25 : ERR_CLN : Put : and := before line breaks, not after
Mathlib/Private/monoids/Basic.lean : line 58 : ERR_CLN : Put : and := before line breaks, not after
Mathlib/Private/monoids/Basic.lean : line 86 : ERR_CLN : Put : and := before line breaks, not after
Mathlib/Private/monoids/Code.lean : line 171 : ERR_CLN : Put : and := before line breaks, not after
Mathlib/Private/monoids/Code.lean : line 177 : ERR_CLN : Put : and := before line breaks, not after
Mathlib/Private/monoids/Code.lean : line 184 : ERR_CLN : Put : and := before line breaks, not after
Mathlib/Private/monoids/Code.lean : line 7 : ERR_MOD : Module docstring missing, or too late
Mathlib/Private/monoids/FreeMonoid.lean : line 122 : ERR_CLN : Put : and := before line breaks, not after
Mathlib/Private/monoids/FreeMonoid.lean : line 131 : ERR_CLN : Put : and := before line breaks, not after
Mathlib/Private/monoids/FreeMonoid.lean : line 135 : ERR_CLN : Put : and := before line breaks, not after
Mathlib/Private/monoids/FreeMonoid.lean : line 139 : ERR_CLN : Put : and := before line breaks, not after
Mathlib/Private/monoids/FreeMonoid.lean : line 147 : ERR_CLN : Put : and := before line breaks, not after
Mathlib/Private/monoids/FreeMonoid.lean : line 210 : ERR_CLN : Put : and := before line breaks, not after
Mathlib/Private/monoids/FreeMonoid.lean : line 215 : ERR_CLN : Put : and := before line breaks, not after
Mathlib/Private/monoids/FreeMonoid.lean : line 220 : ERR_CLN : Put : and := before line breaks, not after
Mathlib/Private/monoids/FreeMonoid.lean : line 230 : ERR_CLN : Put : and := before line breaks, not after
Mathlib/Private/monoids/FreeMonoid.lean : line 237 : ERR_CLN : Put : and := before line breaks, not after
Mathlib/Private/monoids/FreeMonoid.lean : line 244 : ERR_CLN : Put : and := before line breaks, not after
Mathlib/Private/monoids/FreeMonoid.lean : line 27 : ERR_CLN : Put : and := before line breaks, not after
Mathlib/Private/monoids/FreeMonoid.lean : line 32 : ERR_CLN : Put : and := before line breaks, not after
Mathlib/Private/monoids/FreeMonoid.lean : line 364 : ERR_CLN : Put : and := before line breaks, not after
Mathlib/Private/monoids/FreeMonoid.lean : line 369 : ERR_CLN : Put : and := before line breaks, not after
Mathlib/Private/monoids/FreeMonoid.lean : line 9 : ERR_MOD : Module docstring missing, or too late
Mathlib/Private/monoids/List.lean : line 6 : ERR_MOD : Module docstring missing, or too late
Mathlib/Private/monoids/List.lean : line 68 : ERR_CLN : Put : and := before line breaks, not after
Mathlib/Private/monoids/List.lean : line 75 : ERR_CLN : Put : and := before line breaks, not after
Mathlib/Private/monoids/picurry.lean : line 1 : ERR_MOD : Module docstring missing, or too late
Mathlib/Private/monoids/simp_attr.lean : line 6 : ERR_MOD : Module docstring missing, or too late
Mathlib/Tactic/ApplyWith.lean : line 9 : ERR_MOD : Module docstring missing, or too late
Mathlib/Tactic/Basic.lean : line 14 : ERR_MOD : Module docstring missing, or too late
Mathlib/Tactic/ByContra.lean : line 8 : ERR_MOD : Module docstring missing, or too late
Mathlib/Tactic/ClearExcept.lean : line 8 : ERR_MOD : Module docstring missing, or too late
Mathlib/Tactic/Coe.lean : line 8 : ERR_MOD : Module docstring missing, or too late
Mathlib/Tactic/Constructor.lean : line 9 : ERR_MOD : Module docstring missing, or too late
Mathlib/Tactic/ExistsI.lean : line 7 : ERR_MOD : Module docstring missing, or too late
Mathlib/Tactic/PushNeg.lean : line 14 : ERR_MOD : Module docstring missing, or too late
Mathlib/Tactic/Recover.lean : line 8 : ERR_MOD : Module docstring missing, or too late
Mathlib/Tactic/Rename.lean : line 8 : ERR_MOD : Module docstring missing, or too late
Mathlib/Tactic/RenameBVar.lean : line 11 : ERR_MOD : Module docstring missing, or too late
Mathlib/Tactic/Set.lean : line 8 : ERR_MOD : Module docstring missing, or too late
Mathlib/Tactic/SimpRw.lean : line 9 : ERR_MOD : Module docstring missing, or too late
Mathlib/Tactic/Substs.lean : line 8 : ERR_MOD : Module docstring missing, or too late
Mathlib/Tactic/TypeCheck.lean : line 8 : ERR_MOD : Module docstring missing, or too late
