Name,File
AlgebraicGeometry.IsLocalAtTarget.of_openCover,Mathlib.AlgebraicGeometry.Morphisms.Basic
Std.Internal.List.getKeyD,Std.Data.Internal.List.Associative
Prod.bitraverse,Mathlib.Control.Bitraversable.Instances
Ordinal.familyOfBFamily,Mathlib.SetTheory.Ordinal.Family
Lean.MVarId.isAssigned,Lean.MetavarContext
Lean.withRef,Init.Prelude
Std.TreeMap.foldM,Std.Data.TreeMap.Basic
Lean.withoutModifyingEnv,Lean.MonadEnv
FinVec.seq,Mathlib.Data.Fin.Tuple.Reflection
Std.TreeMap.Raw.getKeyGT!,Std.Data.TreeMap.Raw.Basic
Submodule.smul_induction_on',Mathlib.Algebra.Algebra.Operations
Subsemigroup.closure_induction,Mathlib.Algebra.Group.Subsemigroup.Basic
nsmulBinRecAuto,Mathlib.Algebra.Group.Defs
Localization.induction_on₃,Mathlib.GroupTheory.MonoidLocalization.Basic
ST.Ref.get,Init.System.ST
Aesop.Frontend.eraseGlobalRules.go,Aesop.Frontend.Extension
Mathlib.Linter.UnusedTactic.addAllowedUnusedTactic,Mathlib.Tactic.Linter.UnusedTacticExtension
Batteries.RBNode.All.lowerBound?_lb,Batteries.Data.RBMap.Lemmas
Acc.ndrec,Init.WF
Std.DTreeMap.foldl,Std.Data.DTreeMap.Basic
StructureGroupoid.LocalInvariantProp.congr,Mathlib.Geometry.Manifold.LocalInvariantProperties
HomologicalComplex.homotopyCofiber.X,Mathlib.Algebra.Homology.HomotopyCofiber
Lean.Elab.InfoTree.foldInfoTree.go,Lean.Server.InfoUtils
mellinInv,Mathlib.Analysis.MellinTransform
Batteries.RBMap.find!,Batteries.Data.RBMap.Basic
Nat.div2Induction,Init.Data.Nat.Bitwise.Lemmas
CategoryTheory.IsCardinalFiltered.coeq,Mathlib.CategoryTheory.Presentable.IsCardinalFiltered
Std.DHashMap.foldM,Std.Data.DHashMap.Basic
WittVector.nthRemainder,Mathlib.RingTheory.WittVector.MulCoeff
WellFoundedLT.induction,Mathlib.Order.RelClasses
Aesop.GlobalRuleSet.modifyBaseM,Aesop.RuleSet
PreTilt.untiltAux,Mathlib.RingTheory.Perfectoid.Untilt
List.foldrRecOn,Init.Data.List.Lemmas
Std.TreeSet.minD,Std.Data.TreeSet.Basic
CategoryTheory.Limits.widePushout,Mathlib.CategoryTheory.Limits.Shapes.WidePullbacks
Lean.Elab.adaptMacro,Lean.Elab.Util
TypeVec.typevecCasesNil₃,Mathlib.Data.TypeVec
Finset.prodPiInsert,Mathlib.Data.Finset.Insert
Lean.PersistentHashSet.fold,Lean.Data.PersistentHashSet
Aesop.hasSorry,Aesop.Util.Basic
Mathlib.Tactic.BicategoryLike.Mor₂Iso.tgtM,Mathlib.Tactic.CategoryTheory.Coherence.Datatypes
Nat.pincerRecursion,Mathlib.Data.Nat.Init
taylorWithinEval,Mathlib.Analysis.Calculus.Taylor
Std.DTreeMap.getKeyLED,Std.Data.DTreeMap.Basic
